title;author_info;rating;pros;cons;date
Arbeiten bei einem der besten Arbeitgeber Deutschlands.;Mitarbeiter im Bereich Anonym in Lampertheim, Deutschland;5.0;Das sehr positive Arbeitsumfeld mit sehr starkem Bezug zur individuellen Person und professionellem wie respektvollem Umgang miteinander. Bei diesem Arbeitgeber ist man keine Nummer in der Personalakte, sondern ein Mensch mit individuellen Bedürfnissen und eigener Meinung. Zudem arbeitet man auf und mit dem modernsten Stand der Technik.;Die Work-Life-Balance ist Top, das Gehalt ist Top, In Nuancen gibt es immer etwas zu optimieren, aber das Gesamtpaket stimmt.;15. Okt 20
Geld ist nicht alles;Mitarbeiter im Bereich Logistik in Hamm, Deutschland;1.0;Sehr Gutes Gehalt. Wäre das Gehalt nicht so hoch gibt es kein Grund dort anzufangen.;Menschlichkeit. Man ist dort nur eine nr. Nr kann schnell und beliebig austauschen oder weg lassen.;2021
Hier lohnt sich überdurchschnittliche Leistung nicht;Mitarbeiter im Bereich Vertrieb und Verkauf in Münster, Deutschland;3.0;Flexibilität der Arbeitszeitgestaltung, mobiles Arbeiten, Diversität, tolle Kollegen, Weihnachtsgeld und jährlich Bonuszahlung, Zuganbindung, sehr fordernde Aufgaben;Riesiges Gefälle bei der Gehaltsgestaltung, intransparente Gehaltsstruktur, unterirdische Qualität des Kantinenessens, Homeoffice wird von Vorgesetzten immer wieder in Frage gestellt;2021
BASF One Team,;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;4.0;> Work life balance > Chances to progress in corporate career > Professionalism > One of the gaints in industry;Diversity at Headquarters can be improved Communicating the strategy to all staff needs to be improved Transparency for career development is highly required. Yearly appraisal system needs revamping; 20. September 2021
Kann ich nur empfehlen;Mitarbeiter im Bereich Anonym in Ludwigshafen am Rhein, Deutschland;5.0;Flexibel, auf Wünsche werden eingegangen. Vor allem bei der Urlaubsplanung. Es wird einem immer geholfen bei Problemen.;Verkehrsanbindungen, die Bus und Bahn Zeiten, passen nicht zu den Arbeitszeiten bzw Schichtzeiten von der BASF.; 7. September 2021
Guter Arbeitgeber, Gehaltsgefüge muss allerdings angepasst werden.;Mitarbeiter im Bereich Management in Berlin, Deutschland;5.0;Man hat viele Freiheiten und man lernt immer wieder neue Dinge, da es verschiedene Arbeitsgruppen gibt.;Aufgaben werden falsch verteilt. Manager Aufgaben werden einfach an die kleinsten Glieder einer Kette abgegeben, damit man Ruhe hat. Eine Anpassung an den Chemievertrag an die anderen Standorte wäre gerechtfertigt, da wir in Berlin mitunter die meiste Arbeit vollführen.;06. Sep 21
Attraktiver Arbeitgeber mit vielen Benefits;Mitarbeiter im Bereich Anonym in Kassel, Deutschland;5.0;Gleit- und Vertrauenszeit nette Kolleginnen und Kollegen Kaffeeküchen Eigene sehr gute Kantine Home-Office Faire Vergütung;Ehrlich gesagt ist hier nicht viel zu verbessern. Das Anhebot ist sehr vielfältig und wird trotzdem ständig erweitert.;06. Sep 21
Zuverlässiger Arbeitgeber; 4. August 2021;5.0;Unternehmenskultur, Work Life Balance, Bezahlung und Benefits, internationale spannende Projekte, globales Arbeiten und Team, Jobsicherheit;Nicht so kurzfristig und Kennzahlen getrieben agieren, stattdessen auf seine alten Stärken besinnen und vertrauen.; 4. August 2021
Eigentlich sehr zufrieden mit der BASF Coatings als Arbeitgeber;Lacklaborant/in in Münster, Deutschland;4.0;Flexibilität in der Arbeitszeiteinteilung ( Gleitzeit) Außerfirmliche Angebote (Weihnachtsfeier, Fitnessstudio,Kantine) Weiterbildungsmöglichkeiten ( Hausintern , beim Kunden, bei Lieferanten);Wasserspender, Teekocher und Kaffeemaschinen in allen Pausenräumen sowie mehr Flexibilität in den Bring- und Abholzeiten in der Firmeneigenen Kita.;2020
In der Vergangenheit gut, heute nur eingeschränkt empfehlenswert.;Mitarbeiter im Bereich Recht in Ludwigshafen am Rhein, Deutschland;2.0;Interessante Themen. In der Regel tolle und unterstützende Kollegen. In der Vergangenheit gutes Gesamtpaket am Standort.;Karrierechancen haben sich in den letzten Jahren insgesamt verschlechtert. Viele gute Leute sind gegangen. Ausstattung der Büros und IT sollte verbessert werden.;2021
